,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,grade:A,,,grade,,,,
1,1,grade:B,,,grade,,,,
2,2,grade:C,,,grade,,,,
3,3,grade:D,,,grade,,,,
4,4,grade:E,,,grade,,,,
5,5,grade:F,,,grade,,,,
6,6,home_ownership:OWN,,,home_ownership,,,,
7,7,home_ownership:MORTGAGE,,,home_ownership,,,,
8,8,addr_state:NM_VA,,,addr_state,,,,
9,9,addr_state:NY,,,addr_state,,,,
10,10,addr_state:OK_TN_MO_LA_MD_NC,,,addr_state,,,,
11,11,addr_state:CA,,,addr_state,,,,
12,12,addr_state:UT_KY_AZ_NJ,,,addr_state,,,,
13,13,addr_state:AR_MI_PA_OH_MN,,,addr_state,,,,
14,14,addr_state:RI_MA_DE_SD_IN,,,addr_state,,,,
15,15,addr_state:GA_WA_OR,,,addr_state,,,,
16,16,addr_state:WI_MT,,,addr_state,,,,
17,17,addr_state:TX,,,addr_state,,,,
18,18,addr_state:IL_CT,,,addr_state,,,,
19,19,addr_state:KS_SC_CO_VT_AK_MS,,,addr_state,,,,
20,20,addr_state:WV_NH_WY_DC_ME_ID,,,addr_state,,,,
21,21,verification_status:Not Verified,,,verification_status,,,,
22,22,verification_status:Source Verified,,,verification_status,,,,
23,23,purpose:credit_card,,,purpose,,,,
24,24,purpose:debt_consolidation,,,purpose,,,,
25,25,purpose:oth__med__vacation,,,purpose,,,,
26,26,purpose:major_purch__car__home_impr,,,purpose,,,,
27,27,initial_list_status:w,,,initial_list_status,,,,
28,28,term:36,,,term,,,,
29,29,emp_length:1,,,emp_length,,,,
30,30,emp_length:2-4,,,emp_length,,,,
31,31,emp_length:5-6,,,emp_length,,,,
32,32,emp_length:7-9,,,emp_length,,,,
33,33,emp_length:10,,,emp_length,,,,
34,34,mths_since_issue_d:<38,,,mths_since_issue_d,,,,
35,35,mths_since_issue_d:38-39,,,mths_since_issue_d,,,,
36,36,mths_since_issue_d:40-41,,,mths_since_issue_d,,,,
37,37,mths_since_issue_d:42-48,,,mths_since_issue_d,,,,
38,38,mths_since_issue_d:49-52,,,mths_since_issue_d,,,,
39,39,mths_since_issue_d:53-64,,,mths_since_issue_d,,,,
40,40,mths_since_issue_d:65-84,,,mths_since_issue_d,,,,
41,41,int_rate:<9.548,,,int_rate,,,,
42,42,int_rate:9.548-12.025,,,int_rate,,,,
43,43,int_rate:12.025-15.74,,,int_rate,,,,
44,44,int_rate:15.74-20.281,,,int_rate,,,,
45,45,mths_since_earliest_cr_line:141-164,,,mths_since_earliest_cr_line,,,,
46,46,mths_since_earliest_cr_line:165-247,,,mths_since_earliest_cr_line,,,,
47,47,mths_since_earliest_cr_line:248-270,,,mths_since_earliest_cr_line,,,,
48,48,mths_since_earliest_cr_line:271-352,,,mths_since_earliest_cr_line,,,,
49,49,mths_since_earliest_cr_line:>352,,,mths_since_earliest_cr_line,,,,
50,50,inq_last_6mths:0,,,inq_last_6mths,,,,
51,51,inq_last_6mths:1-2,,,inq_last_6mths,,,,
52,52,inq_last_6mths:3-6,,,inq_last_6mths,,,,
53,53,acc_now_delinq:>=1,,,acc_now_delinq,,,,
54,54,annual_inc:20K-30K,,,annual_inc,,,,
55,55,annual_inc:30K-40K,,,annual_inc,,,,
56,56,annual_inc:40K-50K,,,annual_inc,,,,
57,57,annual_inc:50K-60K,,,annual_inc,,,,
58,58,annual_inc:60K-70K,,,annual_inc,,,,
59,59,annual_inc:70K-80K,,,annual_inc,,,,
60,60,annual_inc:80K-90K,,,annual_inc,,,,
61,61,annual_inc:90K-100K,,,annual_inc,,,,
62,62,annual_inc:100K-120K,,,annual_inc,,,,
63,63,annual_inc:120K-140K,,,annual_inc,,,,
64,64,annual_inc:>140K,,,annual_inc,,,,
65,65,dti:<=1.4,,,dti,,,,
66,66,dti:1.4-3.5,,,dti,,,,
67,67,dti:3.5-7.7,,,dti,,,,
68,68,dti:7.7-10.5,,,dti,,,,
69,69,dti:10.5-16.1,,,dti,,,,
70,70,dti:16.1-20.3,,,dti,,,,
71,71,dti:20.3-21.7,,,dti,,,,
72,72,dti:21.7-22.4,,,dti,,,,
73,73,dti:22.4-35,,,dti,,,,
74,74,mths_since_last_delinq:Missing,,,mths_since_last_delinq,,,,
75,75,mths_since_last_delinq:4-30,,,mths_since_last_delinq,,,,
76,76,mths_since_last_delinq:31-56,,,mths_since_last_delinq,,,,
77,77,mths_since_last_delinq:>=57,,,mths_since_last_delinq,,,,16.0
78,78,mths_since_last_record:Missing,,,mths_since_last_record,,,,
79,79,mths_since_last_record:3-20,,,mths_since_last_record,,,,
80,80,mths_since_last_record:21-31,,,mths_since_last_record,,,,
81,81,mths_since_last_record:32-80,,,mths_since_last_record,,,,
82,82,mths_since_last_record:81-86,,,mths_since_last_record,,,,
83,83,mths_since_last_record:>86,,,mths_since_last_record,,,,
84,0,grade:G,0.0,,grade,,,,
85,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,,,,
86,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,,,,
87,3,verification_status:Verified,0.0,,verification_status,,,,
88,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,,,,
89,5,initial_list_status:f,0.0,,initial_list_status,,,,
90,6,term:60,0.0,,term,,,,
91,7,emp_length:0,0.0,,emp_length,,,,
92,8,mths_since_issue_d:>84,0.0,,mths_since_issue_d,,,,
93,9,int_rate:>20.281,0.0,,int_rate,,,,
94,10,mths_since_earliest_cr_line:<140,0.0,,mths_since_earliest_cr_line,,,,
95,11,inq_last_6mths:>6,0.0,,inq_last_6mths,,,,
96,12,acc_now_delinq:0,0.0,,acc_now_delinq,,,,
97,13,annual_inc:<20K,0.0,,annual_inc,,,,
98,14,dti:>35,0.0,,dti,,,,
99,15,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,,,,
100,16,mths_since_last_record:0-2,0.0,,mths_since_last_record,,,,
